"filename", "language", "JavaScript", "JSON", "SQL", "SCSS", "HTML", "Markdown", "CSS", "comment", "blank", "total"
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/src/test/db.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 6, 6, 25
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/src/test/registration.test.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 3, 12, 51
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/src/users.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 19, 83
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/styles/config.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/styles/global.scss", "SCSS", 0, 0, 0, 79, 0, 0, 0, 0, 19, 98
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/styles/grid.scss", "SCSS", 0, 0, 0, 45, 0, 0, 0, 0, 10, 55
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/styles/styles.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/templates/events-login.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/error.ejs", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/footer.ejs", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/form.ejs", "HTML", 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/header.ejs", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/index.ejs", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 5, 22
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/login.ejs", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/slug.ejs", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 14, 47
"/home/olafur/Documents/Skóli/Vor_2022/Vefforritun_2/v2/views/test.ejs", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"Total", "-", 818, 19925, 34, 135, 131, 251, 220, 43, 423, 21980
